Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
FE!N,UTOPIA,Travis Scott,7/28/2023,124,137.8,659010786,129923,93969186,86,125203447,1990342,22100,13787343,107398826,244390161,87,37314,38,3029375,6510,14942955,1839283
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,125,137.7,3913988,545,1054122,40,1577017938,9304666,,,,2651764724,,25,,5260,,,
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,126,136.4,126247886,5,5973,1,,,,,,,,,,,,,
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,127,136.2,1607421145,212406,160444270,83,409785349,3326477,247865,155593087,1825552705,2563240162,267,523907,75,152770142,49622,,9091826
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,128,136.2,438796949,23959,34805394,78,509727241,2202866,1223804,46080266,782582119,1337889706,56,60758,38,38214505,9932,62622,865444
Drained of Color,Drained of Color,Exhumed,8/30/2022,129,134,158627,635,18765,16,2156140830,,9,422,4484,1318392,,29,,1132,,,208
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,130,133,1867736006,302486,82611625,76,747126783,10795292,2467227,160756733,1768836179,2069527154,329,931316,85,240562062,131540,40756476,10228436
Dynamite,Dynamite,BTS,8/21/2020,131,132.3,1872577908,144619,51186002,74,2638957320,62311179,3098499,662794945,5063720138,2199001119,323,351169,98,,,,7896781
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,132,130.7,8327,3,8,,,,4200000,3646489,73318253,,,,,,,,522
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,133,129.7,3427498835,338763,160553919,82,2153701892,20891433,1940473,212007614,2161032034,2333853734,408,600211,110,427212257,357540,,29266297
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,134,129.6,230849195,23091,12233221,64,363082908,5135848,4897595,104580759,1551501289,150614267,49,24103,33,23525446,4705,,623446
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,135,129.5,720720922,74295,89509926,77,221078988,2557839,4687520,1252326407,15247253457,718932832,108,412680,59,81828913,36462,,3086624
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,136,129.4,1378494,351,43395,34,1022331,22739,7702832,90289248,1272592848,,,,,,,,50550
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,137,129.1,2827545,62,1433870,,54330074,801621,,,,,,,10,,,,5620
